label,latitude,longitude,altitude,heading_deg,x,y,z,q1,q2,q3,q4,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum,node,utm_x,utm_y,x_rotated,y_rotated,error_before,error_after
0,35.6497271,139.5025968,0,107.100829,-23861.504757,-3480.197770,-49.396614,0.000000000,0.000000000,-0.148679588,0.988885423,0,0,0,0,1,-1,4.20628243673241,-0.033395846837277,3.98021066404295,-0.705587034005115,0.171319371157232,0.709189282570642
1,35.6497169,139.5026376,0,106.554694,-23857.812952,-3481.339391,-49.383444,0.000000000,0.000000000,-0.143964961,0.989582786,0,0,0,0,1,-1,7.89695605835758,-1.16885465275122,7.95727492517047,-1.51938687684454,0.922968487382095,0.355684137714071
2,35.6497069,139.502679,0,96.706770,-23854.066750,-3482.458967,-49.370061,0.000000000,0.000000000,-0.058494201,0.998287748,0,0,0,0,1,-1,11.6419042939937,-2.28204956103729,11.8737711396915,-2.53880050125019,1.68461679354222,0.345952712713808
3,35.6497026,139.502724,0,102.554030,-23849.992838,-3482.946987,-49.355111,0.000000000,0.000000000,-0.109335561,0.994004897,0,0,0,0,1,-1,15.7125002008407,-2.76072337150539,15.8868536124498,-3.04446988084065,2.26141562496942,0.333033322206158
4,35.649695,139.502766,0,96.595758,-23846.191586,-3483.800420,-49.341382,0.000000000,0.000000000,-0.057527070,0.998343947,0,0,0,0,1,-1,19.5117230453458,-3.6067515011384,19.7980222797968,-3.90869225095861,2.88851009089648,0.41609550351961
5,35.6496908,139.5028107,0,98.977691,-23842.144811,-3484.277269,-49.326532,0.000000000,0.000000000,-0.078265012,0.996932589,0,0,0,0,1,-1,23.5551816477582,-4.07429336239708,23.8413759437793,-4.43349807893171,3.45808615464004,0.459276826604307
6,35.6496851,139.5028551,0,101.342218,-23838.125649,-3484.920472,-49.311878,0.000000000,0.000000000,-0.098817987,0.995105525,0,0,1,0,1,-1,27.5715029431652,-4.70881446021506,27.8309815991518,-5.02686792818809,4.11652635384677,0.410471900868123
7,35.6496777,139.5029005,0,101.484405,-23834.016432,-3485.752534,-49.296995,0.000000000,0.000000000,-0.100052653,0.994982144,0,0,0,0,1,-1,31.6782819225916,-5.5325786922202,31.8890933579361,-5.84748841552335,4.75484687973635,0.378958566472476
8,35.6496707,139.5029429,0,113.994764,-23830.178775,-3486.539485,-49.283103,0.000000000,0.000000000,-0.207866996,0.978157100,0,0,0,0,1,-1,35.513687844818,-6.31181512738768,35.8423409753468,-6.68286442966767,5.34660044881701,0.495671731016478
9,35.6496622,139.5029664,0,175.328535,-23828.053143,-3487.488279,-49.275691,0.000000000,0.000000000,-0.677701209,0.735337386,0,0,0,0,1,-1,37.6394434848317,-7.25803079911446,37.9208086611805,-7.75485227867051,5.56932980777265,0.570962297363006
