label,latitude,longitude,altitude,heading_deg,x,y,z,q1,q2,q3,q4,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum
C5,35.6495967,139.5028518,0,270.000000,-23838.450760,-3494.727837,-49.318476,0.000000000,0.000000000,-1.000000000,0.000000000,1.5,1.5,0,0,1
C5-C7_1,35.6495967,139.502851,0,267.762743,-23838.523208,-3494.727643,-49.318747,0.000000000,0.000000000,-0.999809418,0.019522510,1.5,1.5,0,0,1
C5-C7_2,35.6495965,139.5028447,0,279.441904,-23839.093794,-3494.748304,-49.320888,0.000000000,0.000000000,-0.996607357,-0.082302955,1.5,1.5,0,0,1
C5-C7_3,35.649597,139.502841,0,271.137104,-23839.428717,-3494.691930,-49.322108,0.000000000,0.000000000,-0.999950766,-0.009922942,1.5,1.5,0,0,1
C5-C7_4,35.6495972,139.5028286,0,284.807755,-23840.551601,-3494.666731,-49.326286,0.000000000,0.000000000,-0.991662444,-0.128862708,1.5,1.5,0,0,1
C5-C7_5,35.649603,139.5028016,0,276.874851,-23842.994995,-3494.016655,-49.335052,0.000000000,0.000000000,-0.998200876,-0.059958409,1.5,1.5,0,0,1
C5-C7_6,35.6496059,139.502772,0,281.285723,-23845.674706,-3493.687709,-49.344878,0.000000000,0.000000000,-0.995154122,-0.098327376,1.5,1.5,0,0,1
C5-C7_7,35.6496089,139.5027535,0,279.526174,-23847.349172,-3493.350362,-49.350946,0.000000000,0.000000000,-0.996546562,-0.083035832,1.5,1.5,0,0,1
C5-C7_8,35.6496092,139.5027513,0,280.258021,-23847.548315,-3493.316542,-49.351671,0.000000000,0.000000000,-0.995995928,-0.089398610,1.5,1.5,0,0,1
C5-C7_9,35.6496102,139.5027445,0,277.618853,-23848.163825,-3493.203939,-49.353908,0.000000000,0.000000000,-0.997790551,-0.066438061,1.5,1.5,0,0,1
C5-C7_10,35.6496107,139.5027399,0,277.618853,-23848.580252,-3493.147346,-49.355432,0.000000000,0.000000000,-0.997790551,-0.066438061,1.5,1.5,0,0,1
C5-C7_11,35.6496107,139.5027399,0,284.977417,-23848.580252,-3493.147346,-49.355432,0.000000000,0.000000000,-0.991470565,-0.130330802,1.5,1.5,0,0,1
C5-C7_12,35.6496112,139.5027376,0,279.970900,-23848.788391,-3493.091312,-49.356179,0.000000000,0.000000000,-0.996216799,-0.086902761,1.5,1.5,0,0,1
C5-C7_13,35.6496118,139.5027334,0,277.458595,-23849.168564,-3493.023721,-49.357561,0.000000000,0.000000000,-0.997882490,-0.065042572,1.5,1.5,0,0,1
C5-C7_14,35.6496123,139.5027287,0,282.993129,-23849.594047,-3492.967104,-49.359119,0.000000000,0.000000000,-0.993578642,-0.113143638,1.5,1.5,0,0,1
C5-C7_15,35.6496132,139.5027239,0,279.076001,-23850.028467,-3492.866081,-49.360686,0.000000000,0.000000000,-0.996865078,-0.079120268,1.5,1.5,0,0,1
C5-C7_16,35.6496159,139.5027031,0,285.100915,-23851.911310,-3492.561460,-49.367552,0.000000000,0.000000000,-0.991329529,-0.131399257,1.5,1.5,0,0,1
C5-C7_17,35.6496225,139.502673,0,278.266211,-23854.635200,-3491.821867,-49.377321,0.000000000,0.000000000,-0.997399305,-0.072073754,1.5,1.5,0,0,1
C7,35.6496242,139.5026586,0,278.266211,-23855.938757,-3491.629752,-49.382086,0.000000000,0.000000000,-0.997399305,-0.072073754,1.5,1.5,0,0,1
