label,latitude,longitude,altitude,heading_deg,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum
C7,35.6496242,139.5026586,0,280.174332,1.5,1.5,0,0,1
C7-C0_1,35.6496249,139.5026538,0,284.630098,1.5,1.5,0,0,1
C7-C0_2,35.6496319,139.5026208,0,270.915635,1.5,1.5,0,0,1
C7-C0_3,35.6496321,139.5026054,0,283.027339,1.5,1.5,0,0,1
C7-C0_4,35.649639,139.5025687,0,274.659218,1.5,1.5,0,0,1
C7-C0_5,35.649641,139.5025385,0,285.729098,1.5,1.5,0,0,1
C7-C0_6,35.6496456,139.5025184,0,275.095914,1.5,1.5,0,0,1
C7-C0_7,35.6496471,139.5024977,0,305.547926,1.5,1.5,0,0,1
C7-C0_8,35.6496543,139.5024853,0,359.739171,1.5,1.5,0,0,1
C7-C0_9,35.64969,139.5024851,0,11.174175,1.5,1.5,0,0,1
C7-C0_10,35.6497262,139.5024939,0,42.194465,1.5,1.5,0,0,1
C7-C0_11,35.6497409,139.5025103,0,96.581175,1.5,1.5,0,0,1
C0,35.6497388,139.5025327,0,96.581175,1.5,1.5,0,0,1
