label,latitude,longitude,altitude,heading_deg,x,y,z,q1,q2,q3,q4,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum,node
0,35.6497354,139.5025299,0,95.641858,-23867.560736,-3479.260614,-49.418734,0.000000000,0.000000000,-0.049214610,0.998788227,1.5,1.5,0,0,1,0
1,35.6497319,139.5025735,0,100.235355,-23863.613372,-3479.659540,-49.404199,0.000000000,0.000000000,-0.089201602,0.996013591,1.5,1.5,0,0,1,-1
2,35.6497254,139.5026178,0,98.864134,-23859.603507,-3480.391489,-49.389615,0.000000000,0.000000000,-0.077277041,0.997009658,1.5,1.5,0,0,1,-1
3,35.6497199,139.5026612,0,93.994059,-23855.674849,-3481.012267,-49.375277,0.000000000,0.000000000,-0.034847683,0.999392635,1.5,1.5,0,0,1,-1
4,35.6497191,139.5026753,0,32.008403,-23854.398194,-3481.104452,-49.370558,0.000000000,0.000000000,0.484745483,0.874655256,1.5,1.5,0,0,1,1
5,35.6497204,139.5026763,0,23.988703,-23854.307248,-3480.960458,-49.370139,0.000000000,0.000000000,0.544721713,0.838616871,1.5,1.5,0,0,1,-1
6,35.649754,139.5026947,0,41.686843,-23852.630960,-3477.236935,-49.361839,0.000000000,0.000000000,0.409231668,0.912430514,1.5,1.5,0,0,1,-1
7,35.6497811,139.5027244,0,74.826120,-23849.933281,-3474.237344,-49.350122,0.000000000,0.000000000,0.132030449,0.991245661,1.5,1.5,0,0,1,-1
8,35.6497904,139.5027666,0,90.000000,-23846.108898,-3473.215735,-49.335281,0.000000000,0.000000000,0.000000000,1.000000000,1.5,1.5,0,0,1,2
9,35.6497904,139.5027668,0,103.919390,-23846.090786,-3473.215783,-49.335213,0.000000000,0.000000000,-0.121171102,0.992631636,1.5,1.5,0,0,1,-1
10,35.6497817,139.50281,0,117.926620,-23842.181193,-3474.191553,-49.321147,0.000000000,0.000000000,-0.241300506,0.970450445,1.5,1.5,0,0,1,-1
