label,latitude,longitude,x,y,z,q1,q2,q3,q4,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum,node
0,,,1.000000,0.000000,0.000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,2.500000,2.500000,0,0,1,-1
1,,,6.000000,0.000000,0.000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,2.500000,2.500000,0,0,1,-1
2,,,11.000000,0.000000,0.000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,2.500000,2.500000,0,0,1,-1
3,,,16.000000,0.000000,0.000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,2.500000,2.500000,0,0,1,-1
4,,,21.000000,0.000000,0.000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,2.500000,2.500000,0,0,1,-1
5,,,26.000000,0.000000,0.000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,2.500000,2.500000,0,0,1,-1
6,,,31.000000,0.000000,0.000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,2.500000,2.500000,0,0,1,-1
7,,,36.000000,0.000000,0.000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,2.500000,2.500000,0,0,1,-1
8,,,41.000000,0.000000,0.000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,2.500000,2.500000,0,0,1,-1
9,,,46.000000,0.000000,0.000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,2.500000,2.500000,0,0,1,-1
10,,,50.000000,0.000000,0.000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,2.500000,2.500000,0,0,1,-1
11,,,50.000000,1.000000,0.000000,0.0000000000,0.0000000000,0.7071067812,0.7071067812,2.500000,2.500000,0,0,1,-1
12,,,50.000000,6.000000,0.000000,0.0000000000,0.0000000000,0.7071067812,0.7071067812,2.500000,2.500000,0,0,1,-1
13,,,50.000000,11.000000,0.000000,0.0000000000,0.0000000000,0.7071067812,0.7071067812,2.500000,2.500000,0,0,1,-1
14,,,50.000000,16.000000,0.000000,0.0000000000,0.0000000000,0.7071067812,0.7071067812,2.500000,2.500000,0,0,1,-1
15,,,50.000000,21.000000,0.000000,0.0000000000,0.0000000000,0.7071067812,0.7071067812,2.500000,2.500000,0,0,1,-1
16,,,50.000000,26.000000,0.000000,0.0000000000,0.0000000000,0.7071067812,0.7071067812,2.500000,2.500000,0,0,1,-1
17,,,50.000000,31.000000,0.000000,0.0000000000,0.0000000000,0.7071067812,0.7071067812,2.500000,2.500000,0,0,1,-1
18,,,50.000000,36.000000,0.000000,0.0000000000,0.0000000000,0.7071067812,0.7071067812,2.500000,2.500000,0,0,1,-1
19,,,50.000000,41.000000,0.000000,0.0000000000,0.0000000000,0.7071067812,0.7071067812,2.500000,2.500000,0,0,1,-1
20,,,50.000000,46.000000,0.000000,0.0000000000,0.0000000000,0.7071067812,0.7071067812,2.500000,2.500000,0,0,1,-1
21,,,50.000000,50.000000,0.000000,0.0000000000,0.0000000000,0.7071067812,0.7071067812,2.500000,2.500000,0,0,1,-1
22,,,51.000000,50.000000,0.000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,2.500000,2.500000,0,0,1,-1
23,,,56.000000,50.000000,0.000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,2.500000,2.500000,0,0,1,-1
24,,,61.000000,50.000000,0.000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,2.500000,2.500000,0,0,1,-1
25,,,66.000000,50.000000,0.000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,2.500000,2.500000,0,0,1,-1
26,,,71.000000,50.000000,0.000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,2.500000,2.500000,0,0,1,-1
27,,,76.000000,50.000000,0.000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,2.500000,2.500000,0,0,1,-1
28,,,81.000000,50.000000,0.000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,2.500000,2.500000,0,0,1,-1
29,,,86.000000,50.000000,0.000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,2.500000,2.500000,0,0,1,-1
30,,,91.000000,50.000000,0.000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,2.500000,2.500000,0,0,1,-1
31,,,96.000000,50.000000,0.000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,2.500000,2.500000,0,0,1,-1
32,,,99.000000,50.000000,0.000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,2.500000,2.500000,0,0,1,-1
