label,latitude,longitude,x,y,z,q1,q2,q3,q4,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum,node
0,,,0.624246,0.781228,0.000000,0.0000000000,0.0000000000,0.4334480520,0.9011785540,2.500000,2.500000,0,0,1,-1
1,,,3.764382,4.672070,0.000000,0.0000000000,0.0000000000,0.4279469601,0.9038038501,2.500000,2.500000,0,0,1,-1
2,,,6.991820,8.490429,0.000000,0.0000000000,0.0000000000,0.4165284691,0.9091226729,2.500000,2.500000,0,0,1,-1
3,,,10.404903,12.142214,0.000000,0.0000000000,0.0000000000,0.3719234665,0.9282633975,2.500000,2.500000,0,0,1,-1
4,,,14.130413,15.471382,0.000000,0.0000000000,0.0000000000,0.3353671492,0.9420875093,2.500000,2.500000,0,0,1,-1
5,,,18.300639,18.204757,0.000000,0.0000000000,0.0000000000,0.2220558779,0.9750339415,2.500000,2.500000,0,0,1,-1
6,,,23.007123,19.803715,0.000000,0.0000000000,0.0000000000,0.0490686002,0.9987954107,2.500000,2.500000,0,0,1,-1
7,,,27.965793,19.617264,0.000000,0.0000000000,0.0000000000,-0.1420542201,0.9898588781,2.500000,2.500000,0,0,1,-1
8,,,32.589241,17.761596,0.000000,0.0000000000,0.0000000000,-0.2862028088,0.9581690624,2.500000,2.500000,0,0,1,-1
9,,,36.640738,14.842677,0.000000,0.0000000000,0.0000000000,-0.3353671492,0.9420875093,2.500000,2.500000,0,0,1,-1
10,,,40.297101,11.437701,0.000000,0.0000000000,0.0000000000,-0.3983197705,0.9172466192,2.500000,2.500000,0,0,1,-1
11,,,43.657896,7.736896,0.000000,0.0000000000,0.0000000000,-0.4165284691,0.9091226729,2.500000,2.500000,0,0,1,-1
12,,,46.866146,3.902409,0.000000,0.0000000000,0.0000000000,-0.4279469601,0.9038038501,2.500000,2.500000,0,0,1,-1
13,,,49.996853,0.003938,0.000000,0.0000000000,0.0000000000,-0.4334480520,0.9011785540,2.500000,2.500000,0,0,1,-1
14,,,53.127465,-3.894611,0.000000,0.0000000000,0.0000000000,-0.4279469601,0.9038038501,2.500000,2.500000,0,0,1,-1
15,,,56.335521,-7.729261,0.000000,0.0000000000,0.0000000000,-0.4165284691,0.9091226729,2.500000,2.500000,0,0,1,-1
16,,,59.696017,-11.430334,0.000000,0.0000000000,0.0000000000,-0.3983197705,0.9172466192,2.500000,2.500000,0,0,1,-1
17,,,63.351448,-14.836306,0.000000,0.0000000000,0.0000000000,-0.3353671492,0.9420875093,2.500000,2.500000,0,0,1,-1
18,,,67.402329,-17.756067,0.000000,0.0000000000,0.0000000000,-0.2862028088,0.9581690624,2.500000,2.500000,0,0,1,-1
19,,,72.024532,-19.614429,0.000000,0.0000000000,0.0000000000,-0.1420542201,0.9898588781,2.500000,2.500000,0,0,1,-1
20,,,76.982844,-19.804703,0.000000,0.0000000000,0.0000000000,0.0490686002,0.9987954107,2.500000,2.500000,0,0,1,-1
21,,,81.690274,-18.209123,0.000000,0.0000000000,0.0000000000,0.2220558779,0.9750339415,2.500000,2.500000,0,0,1,-1
22,,,85.861773,-15.477752,0.000000,0.0000000000,0.0000000000,0.3353671492,0.9420875093,2.500000,2.500000,0,0,1,-1
23,,,89.587805,-12.149175,0.000000,0.0000000000,0.0000000000,0.3719234665,0.9282633975,2.500000,2.500000,0,0,1,-1
24,,,93.001596,-8.498065,0.000000,0.0000000000,0.0000000000,0.4165284691,0.9091226729,2.500000,2.500000,0,0,1,-1
25,,,96.229229,-4.679869,0.000000,0.0000000000,0.0000000000,0.4279469601,0.9038038501,2.500000,2.500000,0,0,1,-1
26,,,99.369461,-0.789104,0.000000,0.0000000000,0.0000000000,0.4334480520,0.9011785540,2.500000,2.500000,0,0,1,-1
27,,,99.375754,-0.781228,0.000000,0.0000000000,0.0000000000,0.4334480520,0.9011785540,2.500000,2.500000,0,0,1,-1
