label,latitude,longitude,x,y,z,q1,q2,q3,q4,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum,node
0,,,1.000000,0.000000,0.000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.500000,1.500000,0,0,1,-1
1,,,6.000000,0.000000,0.000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.500000,1.500000,0,0,1,-1
2,,,11.000000,0.000000,0.000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.500000,1.500000,0,0,1,-1
3,,,16.000000,0.000000,0.000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.500000,1.500000,0,0,1,-1
4,,,21.000000,0.000000,0.000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.500000,1.500000,0,0,1,-1
5,,,26.000000,0.000000,0.000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.500000,1.500000,0,0,1,-1
6,,,31.000000,0.000000,0.000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.500000,1.500000,0,0,1,-1
7,,,36.000000,0.000000,0.000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.500000,1.500000,0,0,1,-1
8,,,41.000000,0.000000,0.000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.500000,1.500000,0,0,1,-1
9,,,46.000000,0.000000,0.000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.500000,1.500000,0,0,1,-1
10,,,51.000000,0.000000,0.000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.500000,1.500000,0,0,1,-1
11,,,56.000000,0.000000,0.000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.500000,1.500000,0,0,1,-1
12,,,61.000000,0.000000,0.000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.500000,1.500000,0,0,1,-1
13,,,66.000000,0.000000,0.000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.500000,1.500000,0,0,1,-1
14,,,71.000000,0.000000,0.000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.500000,1.500000,0,0,1,-1
15,,,76.000000,0.000000,0.000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.500000,1.500000,0,0,1,-1
16,,,81.000000,0.000000,0.000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.500000,1.500000,0,0,1,-1
17,,,86.000000,0.000000,0.000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.500000,1.500000,0,0,1,-1
18,,,91.000000,0.000000,0.000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.500000,1.500000,0,0,1,-1
19,,,96.000000,0.000000,0.000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.500000,1.500000,0,0,1,-1
20,,,99.000000,0.000000,0.000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.500000,1.500000,0,0,1,-1
