label,latitude,longitude,altitude,heading_deg,x,y,z,q1,q2,q3,q4,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum
S1,36.081986,140.081076,0,95.023347,28371.271650,44494.868413,-222.601668,0.000000000,0.000000000,-0.043822934,0.999039314,5,5,0,0,0
S1-S2_1,36.0819819655172,140.081132793103,0,95.023347,28376.388392,44494.437162,-222.621386,0.000000000,0.000000000,-0.043822934,0.999039314,10,10,0,0,0
S1-S2_2,36.0819779310345,140.081189586207,0,95.023347,28381.505135,44494.005915,-222.641109,0.000000000,0.000000000,-0.043822934,0.999039314,10,10,0,0,0
S1-S2_3,36.0819738965517,140.08124637931,0,95.023346,28386.621879,44493.574671,-222.660836,0.000000000,0.000000000,-0.043822925,0.999039314,5,5,0,0,0
S1-S2_4,36.081969862069,140.081303172414,0,95.023346,28391.738623,44493.143429,-222.680566,0.000000000,0.000000000,-0.043822925,0.999039314,5,5,0,0,0
S1-S2_5,36.0819658275862,140.081359965517,0,95.023346,28396.855367,44492.712190,-222.700301,0.000000000,0.000000000,-0.043822925,0.999039314,5,5,0,1,0
S1-S2_6,36.0819617931034,140.081416758621,0,95.023346,28401.972113,44492.280955,-222.720040,0.000000000,0.000000000,-0.043822925,0.999039314,5,5,0,0,0
S1-S2_7,36.0819577586207,140.081473551724,0,95.023346,28407.088858,44491.849722,-222.739784,0.000000000,0.000000000,-0.043822925,0.999039314,5,5,1,0,0
S1-S2_8,36.0819537241379,140.081530344828,0,95.023345,28412.205604,44491.418492,-222.759531,0.000000000,0.000000000,-0.043822916,0.999039315,5,5,1,0,0
S1-S2_9,36.0819496896552,140.081587137931,0,95.023345,28417.322351,44490.987266,-222.779283,0.000000000,0.000000000,-0.043822916,0.999039315,5,5,0,0,0
S1-S2_10,36.0819456551724,140.081643931034,0,95.023345,28422.439098,44490.556042,-222.799038,0.000000000,0.000000000,-0.043822916,0.999039315,5,5,0,0,0
S1-S2_11,36.0819416206897,140.081700724138,0,95.023345,28427.555845,44490.124821,-222.818798,0.000000000,0.000000000,-0.043822916,0.999039315,5,5,0,0,0
S1-S2_12,36.0819375862069,140.081757517241,0,95.023344,28432.672593,44489.693603,-222.838562,0.000000000,0.000000000,-0.043822907,0.999039315,5,5,0,0,0
S1-S2_13,36.0819335517241,140.081814310345,0,95.023344,28437.789342,44489.262388,-222.858330,0.000000000,0.000000000,-0.043822907,0.999039315,5,5,0,0,0
S1-S2_14,36.0819295172414,140.081871103448,0,95.023344,28442.906091,44488.831176,-222.878103,0.000000000,0.000000000,-0.043822907,0.999039315,5,5,0,0,0
S1-S2_15,36.0819254827586,140.081927896552,0,95.023343,28448.022840,44488.399967,-222.897879,0.000000000,0.000000000,-0.043822899,0.999039315,5,5,0,0,0
S1-S2_16,36.0819214482759,140.081984689655,0,95.023343,28453.139590,44487.968761,-222.917660,0.000000000,0.000000000,-0.043822899,0.999039315,5,5,0,0,0
S1-S2_17,36.0819174137931,140.082041482759,0,95.023343,28458.256341,44487.537558,-222.937445,0.000000000,0.000000000,-0.043822899,0.999039315,5,5,0,0,0
S1-S2_18,36.0819133793103,140.082098275862,0,95.023343,28463.373092,44487.106358,-222.957234,0.000000000,0.000000000,-0.043822899,0.999039315,5,5,0,0,0
S1-S2_19,36.0819093448276,140.082155068966,0,95.023343,28468.489843,44486.675161,-222.977027,0.000000000,0.000000000,-0.043822899,0.999039315,5,5,0,0,0
S1-S2_20,36.0819053103448,140.082211862069,0,95.023342,28473.606595,44486.243967,-222.996824,0.000000000,0.000000000,-0.043822890,0.999039316,5,5,0,0,0
S1-S2_21,36.0819012758621,140.082268655172,0,95.023342,28478.723348,44485.812775,-223.016625,0.000000000,0.000000000,-0.043822890,0.999039316,5,5,0,0,0
S1-S2_22,36.0818972413793,140.082325448276,0,95.023342,28483.840101,44485.381587,-223.036431,0.000000000,0.000000000,-0.043822890,0.999039316,5,5,0,0,0
S1-S2_23,36.0818932068966,140.082382241379,0,95.023341,28488.956854,44484.950402,-223.056241,0.000000000,0.000000000,-0.043822881,0.999039316,5,5,0,0,0
S1-S2_24,36.0818891724138,140.082439034483,0,95.023341,28494.073608,44484.519219,-223.076054,0.000000000,0.000000000,-0.043822881,0.999039316,5,5,0,0,0
S1-S2_25,36.081885137931,140.082495827586,0,95.023341,28499.190362,44484.088040,-223.095872,0.000000000,0.000000000,-0.043822881,0.999039316,5,5,0,0,0
S1-S2_26,36.0818811034483,140.08255262069,0,95.023341,28504.307117,44483.656864,-223.115695,0.000000000,0.000000000,-0.043822881,0.999039316,5,5,0,0,0
S1-S2_27,36.0818770689655,140.082609413793,0,95.023340,28509.423873,44483.225690,-223.135521,0.000000000,0.000000000,-0.043822873,0.999039316,5,5,0,0,0
S1-S2_28,36.0818730344828,140.082666206897,0,95.023340,28514.540629,44482.794519,-223.155351,0.000000000,0.000000000,-0.043822873,0.999039316,5,5,0,0,0
S2,36.081869,140.082723,0,95.023340,28519.657385,44482.363352,-223.175186,0.000000000,0.000000000,-0.043822873,0.999039316,5,5,0,0,0
