label,latitude,longitude,altitude,heading_deg,x,y,z,q1,q2,q3,q4,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum
C8,36.081235,140.080326,0,93.863164,28303.989129,44411.323171,-221.718875,0.000000000,0.000000000,-0.033706080,0.999431789,0,0,0,0,0
C8-C13_1,36.08123190909091,140.08038263636365,0,93.863164,28309.091462,44410.996533,-221.739212,0.000000000,0.000000000,-0.033706080,0.999431789,0,0,0,0,0
C8-C13_2,36.08122881818182,140.0804392727273,0,93.863164,28314.193794,44410.669898,-221.759554,0.000000000,0.000000000,-0.033706080,0.999431789,0,0,0,0,0
C8-C13_3,36.081225727272724,140.08049590909093,0,93.863164,28319.296127,44410.343266,-221.779899,0.000000000,0.000000000,-0.033706080,0.999431789,0,0,0,0,0
C8-C13_4,36.081222636363634,140.08055254545457,0,93.863164,28324.398461,44410.016636,-221.800248,0.000000000,0.000000000,-0.033706080,0.999431789,0,0,0,0,0
C8-C13_5,36.081219545454545,140.0806091818182,0,93.863164,28329.500795,44409.690010,-221.820602,0.000000000,0.000000000,-0.033706080,0.999431789,0,0,0,0,0
C8-C13_6,36.081216454545455,140.0806658181818,0,93.863163,28334.603129,44409.363386,-221.840959,0.000000000,0.000000000,-0.033706071,0.999431789,0,0,0,0,0
C8-C13_7,36.081213363636365,140.08072245454545,0,93.863163,28339.705463,44409.036766,-221.861321,0.000000000,0.000000000,-0.033706071,0.999431789,0,0,0,0,0
C8-C13_8,36.081210272727276,140.0807790909091,0,93.863163,28344.807798,44408.710148,-221.881687,0.000000000,0.000000000,-0.033706071,0.999431789,0,0,0,0,0
C8-C13_9,36.08120718181818,140.08083572727273,0,93.863163,28349.910134,44408.383534,-221.902057,0.000000000,0.000000000,-0.033706071,0.999431789,0,0,0,0,0
C8-C13_10,36.08120409090909,140.08089236363637,0,93.863163,28355.012469,44408.056922,-221.922431,0.000000000,0.000000000,-0.033706071,0.999431789,0,0,0,0,0
C13,36.081201,140.080949,0,93.863163,28360.114805,44407.730313,-221.942809,0.000000000,0.000000000,-0.033706071,0.999431789,0,0,0,0,0
