label,latitude,longitude,altitude,heading_deg,x,y,z,q1,q2,q3,q4,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum,node,utm_x,utm_y
2000,36.0819119,140.0797884,0,148.722566,28255.325428,44486.275354,-222.027411,0.000000000,0.000000000,-0.490314928,0.871545335,2,2,0,0,1,-1,307.021761954622,-121.583147843868
2001,36.0818817,140.0798111,0,174.926264,28257.380801,44482.930975,-222.013104,0.000000000,0.000000000,-0.675115653,0.737711905,2,2,0,0,1,-1,309.063955526132,-124.944996466354
2002,36.0818462,140.079815,0,176.531359,28257.744773,44478.993115,-221.987162,0.000000000,0.000000000,-0.685382290,0.728183436,2,2,0,0,1,-1,309.414816976113,-128.89683838903
2003,36.0818102,140.0798177,0,189.816036,28258.000841,44474.999431,-221.960354,0.000000000,0.000000000,-0.765011532,0.644016580,2,2,0,0,1,-1,309.65772105805,-132.904340057752
2004,36.0817747,140.0798101,0,185.928576,28257.329018,44471.058263,-221.929809,0.000000000,0.000000000,-0.742727617,0.669593673,2,2,0,0,1,-1,308.973991051909,-136.856181981219
2005,36.0817389,140.0798055,0,182.972245,28256.927510,44467.084671,-221.900237,0.000000000,0.000000000,-0.725207625,0.688530247,2,2,0,0,1,-1,308.560154468438,-140.841419751522
2006,36.0817031,140.0798032,0,186.918171,28256.733160,44463.111740,-221.871588,0.000000000,0.000000000,-0.748482358,0.663154703,2,2,0,0,1,-1,308.353236176702,-144.826657521826
2007,36.0816658,140.0797976,0,176.622076,28256.242119,44458.971424,-221.840458,0.000000000,0.000000000,-0.685958545,0.727640622,2,2,0,0,1,-1,307.849435121565,-148.978874528689
2008,36.0816302,140.0798002,0,183.689460,28256.489037,44455.022094,-221.813932,0.000000000,0.000000000,-0.729502821,0.683977802,2,2,0,0,1,-1,308.083342754033,-152.941848400574
2009,36.0815926,140.0797972,0,177.491832,28256.232282,44450.849239,-221.783617,0.000000000,0.000000000,-0.691461564,0.722413251,2,2,0,0,1,-1,307.813449331364,-157.127461254274
2010,36.0815557,140.0797992,0,182.606949,28256.425624,44446.755493,-221.755850,0.000000000,0.000000000,-0.723009041,0.690838568,2,2,0,0,1,-1,307.99337827981,-161.23515046509
2011,36.0815202,140.0797972,0,178.408250,28256.258187,44442.815935,-221.727566,0.000000000,0.000000000,-0.697216715,0.716860414,2,2,0,0,1,-1,307.813449331364,-165.186992387766
2012,36.0814853,140.0797984,0,188.323804,28256.378758,44438.943873,-221.701031,0.000000000,0.000000000,-0.756560406,0.653923812,2,2,0,0,1,-1,307.921406699409,-169.072042616767
2013,36.0814505,140.0797921,0,190.700167,28255.823772,44435.080749,-221.671572,0.000000000,0.000000000,-0.769957622,0.638095025,2,2,0,0,1,-1,307.354630510781,-172.945960896558
2014,36.081415,140.0797838,0,183.863317,28255.088896,44431.139380,-221.640772,0.000000000,0.000000000,-0.730539705,0.682870222,2,2,0,0,1,-1,306.607925373707,-176.897802819234
2015,36.0813779,140.0797807,0,179.879098,28254.822954,44427.021975,-221.610820,0.000000000,0.000000000,-0.706360341,0.707852434,2,2,0,0,1,-1,306.32903550157,-181.027755927678
2016,36.0813396,140.0797808,0,182.395886,28254.845664,44422.772341,-221.581223,0.000000000,0.000000000,-0.721735379,0.692169086,2,2,0,0,1,-1,306.338031948481,-185.291292425053
2017,36.0813029,140.0797789,0,185.719069,28254.687662,44418.699664,-221.552066,0.000000000,0.000000000,-0.741502163,0.670950477,2,2,0,0,1,-1,306.167099446946,-189.376717737451
2018,36.0812682,140.0797746,0,186.300366,28254.312777,44414.848212,-221.523498,0.000000000,0.000000000,-0.744896188,0.667180388,2,2,0,0,1,-1,305.780252209321,-193.239504068033
2019,36.0812316,140.0797696,0,188.023673,28253.875523,44410.785739,-221.493181,0.000000000,0.000000000,-0.754845097,0.655903103,2,2,0,0,1,-1,305.330429835649,-197.313797431221
