label,latitude,longitude,altitude,heading_deg,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum,node,utm_x,utm_y,x_rotated,y_rotated,error_before,error_after
6,36.0829415,140.0766762,0,92.396764,2,2,0,0,0,-1,27.0343245704972,-6.96860012362449,26.7110338627112,-7.31517032275664,3.41787771412403,0.473949137215458
7,36.0829399,140.0767235,0,96.107455,2,2,0,0,0,-1,31.2896442124964,-7.14671130860224,30.8192294867639,-7.60159033490462,3.85980586896877,0.654373702677439
8,36.082936,140.0767686,0,91.224787,2,2,0,0,0,-1,35.3470420096709,-7.58085732302364,34.8335085510293,-8.05820867465985,4.39054657997938,0.701128323528106
9,36.0829352,140.0768149,0,99.135155,2,2,0,0,0,-1,39.5123971774471,-7.66991291511703,38.8885567463026,-8.20265339229711,4.88735719946676,0.820359250302352
10,36.0829293,140.0768603,0,93.589097,2,2,0,0,0,-1,43.5967843179113,-8.32669791135384,42.882586822918,-8.9034314228318,5.39762693871619,0.917986712930199
11,36.0829271,140.0769037,0,93.177959,2,2,0,0,0,-1,47.5012425099294,-8.57160079079711,46.9010486898651,-9.1719684415261,5.93132055717385,0.848925166127896
12,36.082925,140.0769505,0,67.975434,2,2,0,0,0,-1,51.7115799122602,-8.80537172182194,50.9739536484584,-9.39226483532229,6.50268165740912,0.942621892236906
13,36.0829301,140.0769661,0,18.165211,2,2,0,0,0,-1,53.1150257147418,-8.23764231846948,52.4648302973796,-8.61080789891264,6.91346736357283,0.749671015303536
14,36.0829668,140.076981,0,358.976807,2,2,0,0,0,-1,54.4554963837331,-4.15221700607202,53.681783576182,-4.71195475773341,6.8863501666849,0.95495437545655
15,36.083003,140.0769802,0,0.866594,2,2,0,0,0,-1,54.3835248033319,-0.122451439721635,53.6456389510356,-0.562880953547574,7.02987622607065,0.859333280903284
16,36.0830404,140.0769809,0,350.947507,2,2,0,0,0,-1,54.4464999368222,4.04089751635077,53.7569875779936,3.52177220512947,7.03409661098615,0.86308654359106
17,36.0830754,140.076974,0,357.705144,2,2,0,0,0,-1,53.8257450641719,7.9370796937701,53.138470980316,7.50392421817162,7.14714982527968,0.812384965629547
18,36.0831117,140.0769722,0,2.363665,2,2,0,0,0,-1,53.6638090095477,11.9779772093299,52.9015195524497,11.5185843940896,7.27583814666012,0.890015154419998
19,36.0831489,140.0769741,0,337.997284,2,2,0,0,0,-1,53.8347415110829,16.1190622669835,53.1674041220137,15.6150054909486,7.43017051951626,0.836308809182616
20,36.0831833,140.0769569,0,350.374872,2,2,0,0,0,-1,52.2873525503559,19.9484527507283,51.7797525530057,19.4177178072331,7.37169093633056,0.734395899741301
21,36.0832219,140.0769488,0,7.671210,2,2,0,0,0,-1,51.5586403071039,24.2453850949407,51.3888671847718,23.4182016068951,7.14809466368944,0.844426098579228
22,36.0832573,140.0769547,0,5.874826,2,2,0,0,0,-1,52.089430705531,28.1860950691977,52.0845069101758,27.3670136917952,7.41736338084998,0.819096176629031
23,36.083295,140.0769595,0,2.557830,2,2,0,0,0,-1,52.5212601828243,32.3828398721074,52.516585877482,31.3539231660543,7.60022598678464,1.02892732353924
24,36.0833348,140.0769617,0,5.813567,2,2,0,0,0,-1,52.7191820276491,36.813355605251,52.7628757058835,35.4114318948497,7.65750745729791,1.40260444434732
25,36.0833729,140.0769665,0,6.708863,2,2,0,0,0,-1,53.1510115049424,41.0546282049983,53.1659693631098,39.4431691679446,7.94577180782397,1.61152845634914
26,36.08341,140.0769719,0,18.405988,2,2,0,0,0,-1,53.6368196662581,45.1845813134425,53.488225972454,43.4690921124288,8.43322023397056,1.72191268205825
27,36.0834423,140.0769852,0,20.597783,2,2,0,0,0,-1,54.8333471770039,48.7802008661624,54.2263020126039,47.4549242494698,9.51350328776041,1.457690619567
28,36.0834752,140.0770005,0,5.615391,2,2,0,0,0,-1,56.2098036361958,52.4426121125569,54.507376695133,51.5320406014118,11.111151135298,1.93064703313826
29,36.0835089,140.0770046,0,30.194036,2,2,0,0,0,-1,56.5786579799988,56.1940789526268,54.2867775138365,55.5948648122257,12.2095883674617,2.36891824621136
30,36.0835364,140.0770244,0,29.571905,2,2,0,0,0,-1,58.3599545757512,59.2553649496225,54.5782263629913,59.6099492821678,14.4550017015557,3.79831519546114
31,36.0835646,140.0770442,0,349.004657,2,2,0,0,0,-1,60.1412511689466,62.3945745895022,55.0308849407123,63.7498423088215,16.6133692266665,5.2870212386283
32,36.0835933,140.0770373,0,11.021621,2,2,0,0,0,-1,59.5204962962964,65.589443975429,55.5590611611765,67.7280064150314,16.5357415169857,4.50182381239438
33,36.0836211,140.077044,0,42.317896,2,2,0,0,0,-1,60.1232582751248,68.684125819262,55.9489119444638,71.783762482074,17.7238398796213,5.19931867938019
34,36.083644,140.0770698,0,22.394827,2,2,0,0,0,-1,62.4443417162153,71.2333421589524,56.3510309074769,75.7756898351864,20.58742797918,7.60008940892646
35,36.0836693,140.0770827,0,323.768675,2,2,0,0,0,-1,63.6048834367606,74.0497252757139,56.8633120937891,79.7736257040605,22.2663493610142,8.84374469814684
36,36.0837068,140.0770487,0,319.479092,2,2,0,0,0,-1,60.5460913055072,78.2242061809957,57.1535476624229,83.8014219010678,19.9509079693061,6.52799261323503
37,36.0837745,140.0769771,0,326.586377,2,2,0,0,0,-1,54.1046349337519,85.7605357071817,56.9198323308664,87.6275687935674,13.1758384701944,3.37803921386052
38,36.0837794,140.0769731,0,286.793865,2,2,0,0,0,-1,53.7447770368599,86.3060012121153,56.4108423149265,87.862098906383,13.0553692886803,3.08696357299822
39,36.0837804,140.076969,0,291.907526,2,2,0,0,0,-1,53.3759226904999,86.4173207026276,56.0590454585713,87.839300203008,12.9198367837381,3.03663851784255
40,36.0837921,140.076933,0,297.782734,2,2,0,0,0,-1,50.1372016108005,87.7197587451008,52.0263665346058,88.5090762102334,12.8877631680344,2.0474291611921
41,36.083803,140.0769074,0,274.006493,2,2,0,0,0,-1,47.8341110635318,88.9331411946897,49.1912729136659,89.4377969263695,13.0722968992143,1.44795224195299
42,36.0838039,140.0768915,0,290.948707,2,2,0,0,0,-1,46.4036759203175,89.0333287367834,47.8903343418156,89.447042969015,12.818597732715,1.54315026104469
43,36.0838095,140.0768734,0,275.531209,2,2,0,0,0,-1,44.7753189322784,89.656717885392,46.0958254199728,89.8949306028619,12.808064008708,1.34182065970356
44,36.0838104,140.0768619,0,287.488329,2,2,0,0,0,-1,43.7407274761567,89.7569054266948,44.9520219519413,89.8880152008802,12.7804236960476,1.21836943492242
45,36.0838159,140.0768403,0,243.515738,2,2,0,0,0,-1,41.7974948283371,90.369162626094,42.8291061552249,90.2477045534097,12.7492203715124,1.03873672948601
46,36.0838068,140.0768177,0,234.309125,1,1,0,0,0,-1,39.7642977062944,89.3561552599017,40.7232330212973,88.9087502550321,12.4066775492033,1.05817209221469
47,36.0837913,140.076791,0,234.309125,1,1,0,0,0,-1,37.3622462378918,87.6307031530074,38.2835981043485,86.8977655796271,11.961984659771,1.17732185416555
48,36.0837913,140.076791,0,283.624292,1,1,0,0,0,-1,37.3622462378918,87.6307031530074,38.2169140599605,86.9146081235049,12.0293315955731,1.1150108418118
49,36.0837951,140.0767716,0,271.707855,1,1,0,0,0,-1,35.6169354348969,88.0537172174284,36.5048228090593,87.324171674463,11.9604253820253,1.14916521373461
50,36.0837953,140.0767633,0,281.274472,1,1,0,0,0,-1,34.8702302952661,88.0759811158473,35.6255521935001,87.2806642051029,12.0217343506328,1.09683187338255
51,36.0837982,140.0767453,0,272.606456,1,1,0,0,0,-1,33.2508697566949,88.3988076389655,33.9334469067073,87.6322004956516,12.068606023607,1.02644925734253
52,36.0837993,140.0767154,0,279.790572,1,1,0,0,0,-1,30.5609319692445,88.5212590786871,31.0981365741311,87.7645041611548,12.1108702409731,0.928044607074848
53,36.0838034,140.076686,0,271.889907,1,1,0,0,0,-1,27.9159764214625,88.9776689915273,28.4976347337222,88.1112140013098,11.9943845285304,1.04358547435925
54,36.0838042,140.076656,0,278.549618,1,1,0,0,0,-1,25.2170421871011,89.0667245836207,25.770235178276,88.2065843740356,11.9473490422097,1.0226747604347
55,36.0838055,140.0766453,0,276.346671,1,1,0,0,0,-1,24.2544223113807,89.2114399217612,24.6300871144706,88.3941230549707,12.120555602321,0.899517039872404
56,36.0838063,140.0766364,0,276.549390,1,1,0,0,0,-1,23.4537384877275,89.3004955146455,24.0071614146535,88.4690101683446,11.9348695870768,0.998821714401734
57,36.0838072,140.0766267,0,281.054988,1,1,0,0,0,-1,22.5810830862301,89.4006830559484,23.0887047190665,88.5730467318918,11.9696665263617,0.970907620230414
58,36.0838075,140.0766248,0,277.660218,1,1,0,0,0,-1,22.4101505846949,89.4340789035766,22.7817545259052,88.601150441187,12.0997274306194,0.912063217426175
59,36.0838085,140.0766156,0,278.049131,1,1,0,0,0,-1,21.582477420309,89.5453983940888,22.1323568552201,88.6855553251294,11.9144588960474,1.02063582936109
60,36.0838089,140.0766121,0,273.932531,1,1,0,0,0,-1,21.2676017605285,89.5899261909265,21.7233679218984,88.7266202275161,12.0031887135804,0.97622742243282
61,36.083809,140.0766103,0,275.653336,1,1,0,0,0,-1,21.1056657059042,89.6010581393449,21.5129347412671,88.7541793279779,12.0518467413589,0.939718994331693
62,36.0838096,140.0766028,0,277.619297,1,1,0,0,0,-1,20.4309321466747,89.6678498338105,20.9363659726792,88.8009280594687,11.9450340745268,1.00350222485929
63,36.08381,140.0765991,0,275.900844,1,1,0,0,0,-1,20.0980635905153,89.7123776306481,20.5551167169767,88.8408850119322,11.9896112819596,0.984071615729497
64,36.0838136,140.076556,0,275.751286,1,1,0,0,0,-1,16.2205947417869,90.1131277974413,16.4880798636392,89.1824730179331,12.1459352985925,0.968331869264745
65,36.0838143,140.0765474,0,277.540495,1,1,0,0,0,-1,15.4469002614234,90.1910514411162,15.79052447037,89.255724362692,12.069634617815,0.996450872149554
66,36.0838189,140.0765044,0,272.401879,1,1,0,0,0,-1,11.5784278621629,90.7031210984216,11.853415574104,89.8282340155711,12.1737642235877,0.917085410121292
67,36.0838191,140.0764985,0,279.908990,1,1,0,0,0,-1,11.0476374611787,90.7253849968404,11.2544608862068,89.8902102905668,12.2451841947756,0.860402649426191
68,36.0838203,140.07649,0,274.035687,1,1,0,0,0,-1,10.2829394302831,90.8589683857715,10.557707323513,89.9864214452615,12.1861447484582,0.914787165707637
69,36.0838216,140.0764672,0,278.615727,1,1,0,0,0,-1,8.23174941186162,91.003683723912,8.50164474173556,90.1071212689662,12.1989314981536,0.936305358687081
70,36.0838234,140.0764525,0,278.615727,1,1,0,0,0,-1,6.90927163669216,91.2040588073085,7.12977786788617,90.278981702644,12.2711868528885,0.950994557066382
71,36.0838234,140.0764525,0,278.615727,1,1,0,0,0,-1,6.90927163669216,91.2040588073085,7.11440607281306,90.283307781407,12.2868317895926,0.943325282488122
72,36.0838234,140.0764525,0,266.852198,1,1,0,0,0,-1,6.90927163669216,91.2040588073085,6.99880726318629,90.2947471914528,12.402956463926,0.913709058257524
73,36.0838232,140.076448,0,278.118812,1,1,0,0,0,-1,6.50443150268858,91.1817949088897,6.74094299233393,90.3320172836456,12.2574272737183,0.882076922439175
74,36.0838278,140.0764081,0,279.577548,1,1,0,0,0,-1,2.91484897045103,91.693864566986,2.81593124250276,91.1278721469902,12.6830584300973,0.574571263112933
75,36.0838284,140.0764037,0,279.524434,1,1,0,0,0,-1,2.51900528335837,91.7606562614516,2.33521885387776,91.2338618405844,12.7799097581424,0.557933520697665
76,36.08383,140.0763919,0,276.418195,1,1,0,0,0,-1,1.45742448650399,91.9387674464293,1.32147744941028,91.2373171910899,12.7533889821966,0.714502664522913
77,36.0838305,140.0763864,0,296.032796,1,1,0,0,0,-1,0.962619875720449,91.9944271916854,0.719854919089303,91.2939240309049,12.8707509603349,0.741376761459146
78,36.083832,140.0763826,0,273.031674,1,1,0,0,0,-1,0.620754872650207,92.1614064282447,0.390451428787789,91.3352298733496,12.8815644932098,0.85767556576667
79,36.0838331,140.0763569,0,274.715785,1,1,0,0,0,-1,-1.69133211897244,92.2838578679663,-2.00170979293651,91.6341404552808,12.9996841397012,0.720046537969661
80,36.0838334,140.0763524,0,268.389132,1,1,0,0,0,-1,-2.09617225553296,92.3172537148036,-2.38712639515644,91.671106929875,12.9888158554831,0.708632471057904
81,36.0838333,140.076348,0,276.194781,1,1,0,0,0,-1,-2.49201594262563,92.3061217655942,-2.82457011678169,91.7365713778668,13.0325551472474,0.659530077334676
