label,latitude,longitude,altitude,heading_deg,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum,node,utm_x,utm_y
2000,36.0819119,140.0797884,,148.722566,2,2,0,0,1,-1,307.021761954622,-121.583147843868
2001,36.0818817,140.0798111,,174.926264,2,2,0,0,1,-1,309.063955526132,-124.944996466354
2002,36.0818462,140.079815,,176.531359,2,2,0,0,1,-1,309.414816976113,-128.89683838903
2003,36.0818102,140.0798177,,189.816036,2,2,0,0,1,-1,309.65772105805,-132.904340057752
2004,36.0817747,140.0798101,,185.928576,2,2,0,0,1,-1,308.973991051909,-136.856181981219
2005,36.0817389,140.0798055,,182.972245,2,2,0,0,1,-1,308.560154468438,-140.841419751522
2006,36.0817031,140.0798032,,186.918171,2,2,0,0,1,-1,308.353236176702,-144.826657521826
2007,36.0816658,140.0797976,,176.622076,2,2,0,0,1,-1,307.849435121565,-148.978874528689
2008,36.0816302,140.0798002,,183.689460,2,2,0,0,1,-1,308.083342754033,-152.941848400574
2009,36.0815926,140.0797972,,177.491832,2,2,0,0,1,-1,307.813449331364,-157.127461254274
2010,36.0815557,140.0797992,,182.606949,2,2,0,0,1,-1,307.99337827981,-161.23515046509
2011,36.0815202,140.0797972,,178.408250,2,2,0,0,1,-1,307.813449331364,-165.186992387766
2012,36.0814853,140.0797984,,188.323804,2,2,0,0,1,-1,307.921406699409,-169.072042616767
2013,36.0814505,140.0797921,,190.700167,2,2,0,0,1,-1,307.354630510781,-172.945960896558
2014,36.081415,140.0797838,,183.863317,2,2,0,0,1,-1,306.607925373707,-176.897802819234
2015,36.0813779,140.0797807,,179.879098,2,2,0,0,1,-1,306.32903550157,-181.027755927678
2016,36.0813396,140.0797808,,182.395886,2,2,0,0,1,-1,306.338031948481,-185.291292425053
2017,36.0813029,140.0797789,,185.719069,2,2,0,0,1,-1,306.167099446946,-189.376717737451
2018,36.0812682,140.0797746,,186.300366,2,2,0,0,1,-1,305.780252209321,-193.239504068033
2019,36.0812316,140.0797696,,188.023673,2,2,0,0,1,-1,305.330429835649,-197.313797431221
2020,36.0811972,140.0797636,,182.415613,2,2,0,0,1,-1,304.790642990311,-201.143187914174
2021,36.0811608,140.0797617,,184.939474,2,2,0,0,1,-1,304.619710488776,-205.195217378944
2022,36.0811262,140.079758,,184.117815,2,2,0,0,1,-1,304.286841932617,-209.046871760316
2023,36.0810914,140.0797549,,185.386392,2,2,0,0,1,-1,304.00795206048,-212.920790040108
2024,36.0810554,140.0797507,,192.000042,2,2,0,0,1,-1,303.630101269766,-216.92829170883
2025,36.0810208,140.0797416,,180.273996,2,2,0,0,1,-1,302.811424552291,-220.779946090203
2026,36.080987,140.0797414,,182.161599,2,2,0,0,1,-1,302.793431655912,-224.542544878691
2027,36.0809506,140.0797397,,178.616133,2,2,0,0,1,-1,302.640492050756,-228.59457434346
2028,36.0809138,140.0797408,,171.431200,2,2,0,0,1,-1,302.73945297189,-232.691131605067
