label,latitude,longitude,altitude,heading_deg,x,y,z,q1,q2,q3,q4,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum,utm_x,utm_y,x_rotated,y_rotated,error_before,error_after
C10,36.0800065,140.0809101,0,258.347771,28357.039993,44275.180676,-221.004615,0.000000000,0.000000000,-0.994834546,0.101509737,2,2,0,0,1,407.934912945252,-333.691305601971,405.844642958285,-333.150818783329,58.8046733857853,2.15901704938607
C10-C9_1,36.0800046,140.0808987,0,299.390811,28356.013864,44274.966566,-220.998567,0.000000000,0.000000000,-0.967288098,-0.253680379,2,2,0,0,1,406.909317938598,-333.902812634577,404.649176993585,-333.235558369302,58.7124014119336,2.35657916180452
C10-C9_2,36.0800107,140.0808853,0,340.296419,28354.804720,44275.639537,-220.997884,0.000000000,0.000000000,-0.817665610,-0.575693451,2,2,0,0,1,405.703793980941,-333.223763740713,403.51031369536,-332.308647066866,58.7886554624641,2.37671922826114
C10-C9_3,36.0800441,140.0808705,0,338.681796,28353.459676,44279.341236,-221.017694,0.000000000,0.000000000,-0.825695836,-0.564115578,2,2,0,0,1,404.372319758861,-329.505692748271,402.21440468626,-328.448931857731,58.5448895657853,2.40277777589409
C10-C9_4,36.0800762,140.080855,0,336.115611,28352.052049,44282.898490,-221.036222,0.000000000,0.000000000,-0.838120657,-0.545484889,2,2,0,0,1,402.97787040329,-325.932337093179,400.815032427992,-324.700931982051,58.3062173744191,2.488820334034
C10-C9_5,36.0801096,140.0808367,0,350.692886,28350.391759,44286.599179,-221.054630,0.000000000,0.000000000,-0.762143802,-0.647407773,2,2,0,0,1,401.331520521429,-322.214266100737,399.321587853019,-320.912160751827,58.0573166592804,2.39485023982779
C10-C9_6,36.0801456,140.0808294,0,343.796850,28349.721317,44290.591532,-221.079467,0.000000000,0.000000000,-0.799701163,-0.600398243,2,2,0,0,1,400.674779858578,-318.206764432015,398.813022391978,-316.918305338657,57.8118649957418,2.26412625524713
C10-C9_7,36.0801812,140.0808166,0,350.580156,28348.555629,44294.537916,-221.101787,0.000000000,0.000000000,-0.762780324,-0.646657697,2,2,0,0,1,399.523234584944,-314.24379056013,397.913741862872,-312.880617106228,57.6590089500347,2.10919621842696
C10-C9_8,36.0802153,140.0808096,0,352.370384,28347.912892,44298.319537,-221.125284,0.000000000,0.000000000,-0.752585121,-0.658494978,2,2,0,0,1,398.893483262826,-310.447795924013,397.121275481294,-308.895833143422,57.3931050488698,2.35569711407531
C10-C9_9,36.0802515,140.0808036,0,355.654792,28347.359473,44302.334457,-221.150805,0.000000000,0.000000000,-0.733404906,-0.679792060,2,2,0,0,1,398.353696417488,-306.418030357663,396.693452397556,-304.869843464178,57.1452790170242,2.27008653202466
C10-C9_10,36.0802866,140.0808003,0,6.073458,28347.049641,44306.228103,-221.176565,0.000000000,0.000000000,0.668654082,0.743573614,2,2,0,0,1,398.056813651529,-302.510716230243,396.453328310706,-300.846739980144,56.9888225145013,2.31084015006002
C10-C9_11,36.0803223,140.080805,0,19.104452,28347.460159,44310.190632,-221.206006,0.000000000,0.000000000,0.579960636,0.814644500,2,2,0,0,1,398.479646681911,-298.536610409149,397.082044191634,-296.845153380477,56.9194782864101,2.19415578313738
C10-C9_12,36.0803244,140.0808059,0,343.204888,28347.540469,44310.423902,-221.207988,0.000000000,0.000000000,-0.802792042,-0.596259119,2,2,0,0,1,398.560614709224,-298.302839478915,397.059779859403,-296.719987212248,56.7628465059502,2.18126718778944
C10-C9_13,36.0803568,140.0807938,0,342.703860,28346.438983,44314.015425,-221.228133,0.000000000,0.000000000,-0.805391380,-0.592743388,2,2,0,0,1,397.472044566523,-294.696087976986,395.892987396504,-292.926761074978,56.529638155639,2.3714846051269
C10-C9_14,36.0803908,140.0807807,0,339.693382,28345.246853,44317.784190,-221.249113,0.000000000,0.000000000,-0.820683855,-0.571382542,2,2,0,0,1,396.293509952155,-290.911225290079,394.71350234841,-289.060425383407,56.2429261712453,2.43349220718483
C10-C9_15,36.0804264,140.0807644,0,338.054644,28343.765923,44321.729564,-221.270044,0.000000000,0.000000000,-0.828770822,-0.559588174,2,2,0,0,1,394.827089018741,-286.948251417403,393.404658532269,-285.266346142753,55.8147289838427,2.20275142531758
C10-C9_16,36.0804607,140.0807473,0,339.817911,28342.213405,44325.530463,-221.289654,0.000000000,0.000000000,-0.820062438,-0.572274059,2,2,0,0,1,393.288696504924,-283.129992883658,391.791386993167,-281.441620208546,55.3898332233707,2.2566652529927
C10-C9_17,36.080495,140.0807317,0,355.427380,28340.795994,44329.331795,-221.309869,0.000000000,0.000000000,-0.734752538,-0.678335248,2,2,0,0,1,391.885250705,-279.311734349123,390.586464503712,-277.605961750829,55.1509752837353,2.14394630383924
C10-C9_18,36.0805334,140.0807279,0,10.402403,28340.439946,44333.591456,-221.337993,0.000000000,0.000000000,0.640093588,0.768296947,2,2,0,0,1,391.54338570193,-275.037065902539,390.350875494067,-273.524954649348,54.7602909522534,1.9257624562448
C10-C9_19,36.0805695,140.0807361,0,0.990400,28341.165569,44337.599378,-221.369165,0.000000000,0.000000000,0.700969015,0.713191727,2,2,0,0,1,392.281094392092,-271.018432285397,391.177263900361,-269.608579708813,54.5523100756665,1.79056584413368
