label,latitude,longitude,altitude,heading_deg,x,y,z,q1,q2,q3,q4,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum,node,utm_x,utm_y,x_rotated,y_rotated,error_before,error_after
0,36.0830041,140.0763757,0,129.562160,27947.560346,44606.486567,-221.515310,0.000000000,0.000000000,-0.338427208,0.940992574,2,2,0,0,1,-1,0,0,-0.022003402931357,-0.010129501566913,0.024223058076009,0.024223058076009
1,36.082982,140.0764088,0,123.539487,27950.549412,44604.043830,-221.511253,0.000000000,0.000000000,-0.288526220,0.957471995,2,2,0,0,1,-1,2.97782410394131,-2.46016074601504,3.17803013767223,-2.48165861845672,0.581361285373634,0.201356932986635
2,36.082961,140.076448,0,96.838321,27954.087504,44601.724882,-221.510472,0.000000000,0.000000000,-0.059640195,0.998219939,2,2,0,0,1,-1,6.50443150268858,-4.79787005309942,6.73177208167145,-4.56160379029697,1.24413882685555,0.327880291861073
3,36.0829566,140.0764934,0,98.119471,27958.178142,44601.249591,-221.525046,0.000000000,0.000000000,-0.070796477,0.997490781,2,2,0,0,1,-1,10.5888186431527,-5.28767581277693,10.7021014922337,-5.04827074084301,1.60687112650765,0.264854285152412
4,36.0829514,140.0765385,0,91.848809,27962.242043,44600.685450,-221.538884,0.000000000,0.000000000,-0.016133202,0.999869851,2,2,0,0,1,-1,14.6462164403272,-5.86653716454783,14.6965419428989,-5.5991053916193,2.05453117383049,0.272125723482364
5,36.0829502,140.0765845,0,96.764523,27966.385589,44600.565397,-221.556188,0.000000000,0.000000000,-0.058997320,0.998258141,2,2,0,0,1,-1,18.7845822648137,-6.00012055347888,18.7383684254444,-5.78154238110128,2.42768276546286,0.223410242355155
6,36.0829458,140.0766304,0,96.626469,27970.521262,44600.090254,-221.570969,0.000000000,0.000000000,-0.057794628,0.998328494,2,2,0,0,1,-1,22.9139516423894,-6.4899263131564,22.8692338538426,-6.24673610336645,2.91949338263927,0.247267383110259
7,36.0829415,140.0766762,0,92.396764,27974.647893,44599.626180,-221.585791,0.000000000,0.000000000,-0.020914187,0.999781274,2,2,0,0,1,-1,27.0343245704972,-6.96860012362449,26.8543256967164,-6.6939955555133,3.38361804488598,0.328340164143628
8,36.0829399,140.0767235,0,96.107455,27978.908669,44599.462119,-221.603308,0.000000000,0.000000000,-0.053272370,0.998580019,2,2,0,0,1,-1,31.2896442124964,-7.14671130860224,30.9821364449148,-6.902391294148,3.80776364269312,0.392750934545028
9,36.082936,140.0767686,0,91.224787,27982.972112,44599.042233,-221.618169,0.000000000,0.000000000,-0.010688079,0.999942881,2,2,0,0,1,-1,35.3470420096709,-7.58085732302364,34.9867601657158,-7.2836718122264,4.31337372825027,0.46703558206147
10,36.0829352,140.0768149,0,99.135155,27987.142537,44598.966657,-221.635916,0.000000000,0.000000000,-0.079634855,0.996824102,2,2,0,0,1,-1,39.5123971774471,-7.66991291511703,39.0015834585008,-7.3746631329207,4.76065986688971,0.590002618088101
11,36.0829293,140.0768603,0,93.563460,27991.233709,44598.324946,-221.649347,0.000000000,0.000000000,-0.031092043,0.999516526,2,2,0,0,1,-1,43.5967843179113,-8.32669791135384,43.0520729241532,-7.92017155402408,5.33417672980835,0.679686826188157
12,36.082927,140.076906,0,93.183050,27995.350626,44598.082767,-221.665697,0.000000000,0.000000000,-0.027773779,0.999614234,2,2,0,0,1,-1,47.7081607991082,-8.58273274000653,47.1250153999345,-8.13775594897039,5.83491114503599,0.733527709863913
13,36.082925,140.0769505,0,67.975434,27999.359356,44597.873536,-221.681806,0.000000000,0.000000000,0.191019431,0.981586255,2,2,0,0,1,-1,51.7115799122602,-8.80537172182194,51.1916779886813,-8.24493890766216,6.41210455812561,0.764449441969909
14,36.0829301,140.0769661,0,18.165211,28000.762606,44598.443865,-221.691960,0.000000000,0.000000000,0.586618251,0.809863586,2,2,0,0,1,-1,53.1150257147418,-8.23764231846948,52.62339444311,-7.47555693027458,6.77042786251966,0.906904320282185
15,36.0829668,140.076981,0,358.976807,28002.091604,44602.520243,-221.726387,0.000000000,0.000000000,-0.713392297,-0.700764890,2,2,0,0,1,-1,54.4554963837331,-4.15221700607202,53.7590073727487,-3.53915669103081,6.75520935925754,0.927868467133323
16,36.083003,140.0769802,0,0.866594,28002.006713,44606.536668,-221.754196,0.000000000,0.000000000,0.701739146,0.712433977,2,2,0,0,1,-1,54.3835248033319,-0.122451439721635,53.6587804322746,0.593883012865328,6.88458802869434,1.01901396032744
17,36.0830404,140.0769809,0,350.947507,28002.056498,44610.686668,-221.783535,0.000000000,0.000000000,-0.760703390,-0.649099647,2,2,0,0,1,-1,54.4464999368222,4.04089751635077,53.6626527035646,4.71246338389714,6.9218828742622,1.03219048607264
18,36.0830754,140.076974,0,357.705144,28001.422620,44614.568205,-221.807995,0.000000000,0.000000000,-0.721124845,-0.692805137,2,2,0,0,1,-1,53.8257450641719,7.9370796937701,52.9743687225281,8.70529320132726,7.0567619939488,1.14673173336407
19,36.0831117,140.0769722,0,2.363665,28001.247626,44618.595441,-221.835492,0.000000000,0.000000000,0.692371997,0.721540725,2,2,0,0,1,-1,53.6638090095477,11.9779772093299,52.631114020695,12.7246979430195,7.19816897137671,1.27438251483745
20,36.0831489,140.0769741,0,337.997284,28001.405564,44622.723592,-221.865160,0.000000000,0.000000000,-0.829050826,-0.559173254,2,2,0,0,1,-1,53.8347415110829,16.1190622669835,52.8416600925051,16.7984797851954,7.31126147018473,1.2032534512635
21,36.0831833,140.0769569,0,349.697172,27999.844203,44626.535619,-221.885072,0.000000000,0.000000000,-0.767740444,-0.640760963,2,2,0,0,1,-1,52.2873525503559,19.9484527507283,51.3183877643515,20.5540762088774,7.25722944013731,1.14266028616429
22,36.0832202,140.0769486,0,7.569031,27999.083559,44630.627576,-221.910463,0.000000000,0.000000000,0.658892780,0.752236867,2,2,0,0,1,-1,51.5406474107251,24.0561419607536,50.8803453786927,24.5372614584684,7.15742891665537,0.816991275710746
23,36.0832573,140.0769547,0,5.874826,27999.619816,44634.745828,-221.941728,0.000000000,0.000000000,0.669941981,0.742413458,2,2,0,0,1,-1,52.089430705531,28.1860950691977,51.5190469945537,28.5386195807211,7.2897304602948,0.670530468340582
24,36.083295,140.0769595,0,2.557830,28000.038772,44638.930285,-221.972946,0.000000000,0.000000000,0.691148418,0.722712850,2,2,0,0,1,-1,52.5212601828243,32.3828398721074,51.7503454949383,32.5382754047645,7.52747237578361,0.786428420652998
25,36.0833348,140.0769617,0,5.813567,28000.222808,44643.347011,-222.004768,0.000000000,0.000000000,0.670338768,0.742055211,2,2,0,0,1,-1,52.7191820276491,36.813355605251,51.9765443218821,36.5829563301779,7.52615433126185,0.777556806915822
26,36.0833729,140.0769665,0,6.708863,28000.641622,44647.575851,-222.036303,0.000000000,0.000000000,0.664520742,0.747269820,2,2,0,0,1,-1,53.1510115049424,41.0546282049983,52.2840030369152,40.5726838431626,7.77466216668449,0.991954662036512
27,36.08341,140.0769719,0,18.405988,28001.114830,44651.693904,-222.067301,0.000000000,0.000000000,0.584915292,0.811094385,2,2,0,0,1,-1,53.6368196662581,45.1845813134425,52.5426056737975,44.5973755248149,8.23471114840806,1.24181918953372
28,36.0834423,140.0769852,0,20.597783,28002.301271,44655.281615,-222.097705,0.000000000,0.000000000,0.569295429,0.822133027,2,2,0,0,1,-1,54.8333471770039,48.7802008661624,53.173175697709,48.6046265599318,9.32671137398264,1.6694297462525
29,36.0834752,140.0770005,0,5.020171,28003.667633,44658.936470,-222.129371,0.000000000,0.000000000,0.675460418,0.737396246,2,2,0,0,1,-1,56.2098036361958,52.4426121125569,53.3920619622107,52.6272515183376,10.8600601565126,2.82378466804382
30,36.0835074,140.077004,0,30.388465,28003.971449,44662.510291,-222.155811,0.000000000,0.000000000,0.497061309,0.867715423,2,2,0,0,1,-1,56.5246792959763,56.0270997160675,53.072135655362,56.6287997778115,11.9684464147089,3.50458279323648
31,36.0835351,140.0770241,0,29.995963,28005.771976,44665.589538,-222.185341,0.000000000,0.000000000,0.500030509,0.866007789,2,2,0,0,1,-1,58.3329652324615,59.110649611482,53.2626233548683,60.6492472044417,14.2274865902757,5.29864598824426
32,36.083561,140.0770426,0,350.121091,28007.429033,44668.468605,-222.212838,0.000000000,0.000000000,-0.765364770,-0.643596744,2,2,0,0,1,-1,59.9973080107012,61.9938244227091,53.6131597267513,64.6388288360128,16.3193892369844,6.91038332206372
33,36.0835907,140.0770362,0,12.529971,28006.842069,44671.762211,-222.233407,0.000000000,0.000000000,0.625719475,0.780048164,2,2,0,0,1,-1,59.4215353726055,65.3000132991481,54.0376983547469,68.6265231865592,16.231524968977,6.32861509857481
34,36.0836187,140.0770439,0,39.904655,28007.525655,44674.871210,-222.258253,0.000000000,0.000000000,0.423372202,0.905955837,2,2,0,0,1,-1,60.1142618282139,68.4169590413999,54.3598427117558,72.6669053396365,17.4433127155863,7.15369714942936
35,36.0836417,140.0770677,0,33.089180,28009.661093,44677.430013,-222.285603,0.000000000,0.000000000,0.476474683,0.879188192,2,2,0,0,1,-1,62.2554163183014,70.9773073302997,54.6763291178749,76.6870654308175,20.1563486189344,9.48914645045047
36,36.0836639,140.0770856,0,332.990819,28011.265419,44679.898368,-222.309988,0.000000000,0.000000000,-0.852682024,-0.522430250,2,2,0,0,1,-1,63.8657804125187,73.4486000255242,55.1227714396813,80.6962422990824,22.3801550733393,11.3564309721225
37,36.083701,140.0770622,0,316.343543,28009.144691,44684.008210,-222.329572,0.000000000,0.000000000,-0.919329315,-0.393489022,2,2,0,0,1,-1,61.7606117100748,77.5785531339683,55.2841305010718,84.7361668233699,20.8726996528127,9.65278418785368
38,36.0837724,140.0769779,0,331.006333,28001.526725,44691.906524,-222.351682,0.000000000,0.000000000,-0.861601110,-0.507585981,2,2,0,0,1,-1,54.1766065141531,85.5267647769479,55.2215152658352,88.7577241048336,12.92810967654,3.39572267386397
39,36.0837794,140.0769731,0,286.793865,28001.091921,44692.681856,-222.355226,0.000000000,0.000000000,-0.989280153,-0.146030065,2,2,0,0,1,-1,53.7447770368598,86.3060012121153,54.5261821716483,89.1383851551702,12.8281647797862,2.93819549818403
40,36.0837804,140.076969,0,291.907526,28000.722292,44692.791645,-222.354377,0.000000000,0.000000000,-0.981780844,-0.190016772,2,2,0,0,1,-1,53.3759226904999,86.4173207026276,54.0700570969154,89.0772856015153,12.7413089064702,2.74904271292473
41,36.0837921,140.076933,0,297.782734,27997.475736,44694.079584,-222.349195,0.000000000,0.000000000,-0.970752667,-0.240081778,2,2,0,0,1,-1,50.1372016108005,87.7197587451008,50.0868392408895,89.675752714031,12.6727729444259,1.95664221941425
42,36.083803,140.0769074,0,274.006493,27995.166159,44695.281722,-222.347521,0.000000000,0.000000000,-0.999388848,-0.034956124,2,2,0,0,1,-1,47.8341110635318,88.9331411946897,47.2291711953387,90.5428124759565,12.8565039594102,1.71959119498344
43,36.0838039,140.0768915,0,290.948707,27993.733777,44695.377052,-222.341911,0.000000000,0.000000000,-0.983336381,-0.181795387,2,2,0,0,1,-1,46.4036759203175,89.0333287367834,45.8826331611007,90.5429882623075,12.6520918817376,1.59704647394424
44,36.0838095,140.0768734,0,275.531209,27992.101581,44695.993255,-222.339088,0.000000000,0.000000000,-0.998835283,-0.048250163,2,2,0,0,1,-1,44.7753189322784,89.656717885392,44.1277503502778,90.9355220644886,12.5909098823923,1.43341731427698
45,36.0838104,140.0768619,0,287.488329,27991.065493,44696.089839,-222.335225,0.000000000,0.000000000,-0.988376999,-0.152022722,2,2,0,0,1,-1,43.7407274761567,89.7569054266948,43.0057096836034,90.8706559812589,12.527480828419,1.33442551428017
46,36.0838159,140.0768403,0,243.515738,27989.118100,44696.693949,-222.330936,0.000000000,0.000000000,-0.973410728,0.229066705,2,2,0,0,1,-1,41.7974948283371,90.369162626094,40.8773616881637,91.2010888453063,12.5023412592214,1.24046210335436
47,36.0838068,140.0768177,0,232.657388,27987.085814,44695.677799,-222.314884,0.000000000,0.000000000,-0.947370723,0.320138583,2,2,0,0,1,-1,39.7642977062944,89.3561552599017,38.7906690090071,89.7967142998074,12.1627961973456,1.06866510555176
