label,latitude,longitude,altitude,heading_deg,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum
0,36.082895487925924,140.07682257737022,,274.79383589348595,2.0,2.0,0,0,1
1,36.08289695861808,140.07680096599407,,274.7938358934855,2.0,2.0,0,0,1
2,36.08289842930635,140.07677935461706,,274.79383589348595,2.0,2.0,0,0,1
3,36.082899899990714,140.07675774323926,,274.79383589348595,2.0,2.0,0,0,1
4,36.08290137067118,140.07673613186066,,274.79383589348555,2.0,2.0,0,0,1
5,36.082902841347746,140.07671452048126,,274.7938358934859,2.0,2.0,0,0,1
6,36.082904312020425,140.07669290910104,,274.79383589348595,2.0,2.0,0,0,1
7,36.082905782689195,140.07667129772003,,274.79383589348595,2.0,2.0,0,0,1
8,36.08290725335408,140.07664968633821,,274.7938358934855,2.0,2.0,0,0,1
9,36.08290872401505,140.07662807495558,,274.7938358934859,2.0,2.0,0,0,1
10,36.08291019467214,140.07660646357215,,274.79383589348606,2.0,2.0,0,0,1
11,36.08291166532533,140.07658485218792,,274.7938358934855,2.0,2.0,0,0,1
12,36.082913135974614,140.0765632408029,,274.79383589348606,2.0,2.0,0,0,1
13,36.08291460662,140.07654162941705,,274.7938358934859,2.0,2.0,0,0,1
14,36.082916077261494,140.0765200180304,,274.7938358934855,2.0,2.0,0,0,1
15,36.0829175478991,140.07649840664297,,274.79383589348606,2.0,2.0,0,0,1
16,36.08291901853279,140.0764767952547,,274.7938358934859,2.0,2.0,0,0,1
17,36.082920489162596,140.07645518386565,,274.7938358934859,2.0,2.0,0,0,1
18,36.0829219597885,140.0764335724758,,274.7938358934856,2.0,2.0,0,0,1
19,36.08292343041051,140.07641196108509,,274.7938358934859,2.0,2.0,0,0,1
20,36.08292490102861,140.07639034969364,,274.7938358934859,2.0,2.0,0,0,1
21,36.08292637164283,140.07636873830137,,274.7938358934856,2.0,2.0,0,0,1
22,36.08292784225314,140.07634712690827,,274.7938358934859,2.0,2.0,0,0,1
23,36.082929312859555,140.07632551551438,,1.9784199832933211,2.0,2.0,0,0,1
24,36.08294656220901,140.07632624888365,,1.9784199832916016,2.0,2.0,0,0,1
25,36.0829638115584,140.0763269822532,,1.9784199832916016,2.0,2.0,0,0,1
26,36.082981060907734,140.07632771562305,,1.9784199832933211,2.0,2.0,0,0,1
27,36.082998310257025,140.07632844899322,,1.9784199832933211,2.0,2.0,0,0,1
28,36.08301555960626,140.07632918236374,,1.9784199832916016,2.0,2.0,0,0,1
29,36.08303280895543,140.07632991573456,,1.9784199832916016,2.0,2.0,0,0,1
30,36.08305005830456,140.07633064910573,,1.9784199832933211,2.0,2.0,0,0,1
31,36.08306730765363,140.0763313824772,,1.9784199832933211,2.0,2.0,0,0,1
32,36.08308455700264,140.076332115849,,1.9784199832916016,2.0,2.0,0,0,1
33,36.08310180635161,140.0763328492211,,274.7938240806002,2.0,2.0,0,0,1
34,36.08310319675974,140.07631241625563,,274.7938240806002,2.0,2.0,0,0,1
35,36.08310458716438,140.07629198328945,,274.7938240806003,2.0,2.0,0,0,1
36,36.083105977565545,140.07627155032256,,274.79382408059973,2.0,2.0,0,0,1
37,36.08310736796323,140.07625111735493,,274.7938240806002,2.0,2.0,0,0,1
38,36.083108758357426,140.0762306843866,,274.7938240806003,2.0,2.0,0,0,1
39,36.08311014874813,140.0762102514175,,274.7938240806002,2.0,2.0,0,0,1
40,36.083111539135366,140.07618981844774,,274.7938240806002,2.0,2.0,0,0,1
41,36.0831129295191,140.07616938547724,,305.08056430005104,2.0,2.0,0,0,1
42,36.083122283891065,140.07615297527857,,305.0805643000514,2.0,2.0,0,0,1
43,36.08313163826076,140.076136565076,,305.08056430005,2.0,2.0,0,0,1
44,36.08314099262819,140.07612015486956,,305.08056430005104,2.0,2.0,0,0,1
45,36.08315034699337,140.07610374465924,,305.0805643000514,2.0,2.0,0,0,1
46,36.08315970135627,140.076087334445,,305.08056430005104,2.0,2.0,0,0,1
47,36.08316905571692,140.07607092422688,,291.8866797622208,2.0,2.0,0,0,1
48,36.08317541752825,140.07605141287456,,291.886679762221,2.0,2.0,0,0,1
49,36.08318177933641,140.07603190151914,,291.88667976222143,2.0,2.0,0,0,1
50,36.08318814114138,140.07601239016054,,291.8866797622208,2.0,2.0,0,0,1
51,36.08319450294316,140.07599287879884,,291.886679762221,2.0,2.0,0,0,1
52,36.08320086474175,140.07597336743396,,291.8866797622208,2.0,2.0,0,0,1
